"","borough","spc_common","total_count"
"1","Bronx","'Schubert' chokecherry",567
"2","Bronx","American beech",31
"3","Bronx","American elm",1424
"4","Bronx","American hophornbeam",184
"5","Bronx","American hornbeam",293
"6","Bronx","American larch",12
"7","Bronx","American linden",2099
"8","Bronx","Amur cork tree",32
"9","Bronx","Amur maackia",465
"10","Bronx","Amur maple",425
"11","Bronx","arborvitae",25
"12","Bronx","ash",282
"13","Bronx","Atlantic white cedar",53
"14","Bronx","Atlas cedar",6
"15","Bronx","bald cypress",85
"16","Bronx","bigtooth aspen",7
"17","Bronx","black cherry",64
"18","Bronx","black locust",348
"19","Bronx","black maple",13
"20","Bronx","black oak",217
"21","Bronx","black pine",2
"22","Bronx","black walnut",43
"23","Bronx","blackgum",28
"24","Bronx","blue spruce",16
"25","Bronx","boxelder",17
"26","Bronx","bur oak",80
"27","Bronx","Callery pear",4845
"28","Bronx","catalpa",133
"29","Bronx","cherry",4058
"30","Bronx","Chinese chestnut",19
"31","Bronx","Chinese elm",1305
"32","Bronx","Chinese fringetree",31
"33","Bronx","Chinese tree lilac",53
"34","Bronx","cockspur hawthorn",54
"35","Bronx","common hackberry",788
"36","Bronx","Cornelian cherry",168
"37","Bronx","crab apple",505
"38","Bronx","crepe myrtle",45
"39","Bronx","crimson king maple",195
"40","Bronx","cucumber magnolia",19
"41","Bronx","dawn redwood",385
"42","Bronx","Douglas-fir",8
"43","Bronx","eastern cottonwood",56
"44","Bronx","eastern hemlock",7
"45","Bronx","eastern redbud",620
"46","Bronx","eastern redcedar",155
"47","Bronx","empress tree",57
"48","Bronx","English oak",221
"49","Bronx","European alder",6
"50","Bronx","European beech",14
"51","Bronx","European hornbeam",443
"52","Bronx","false cypress",13
"53","Bronx","flowering dogwood",149
"54","Bronx","ginkgo",2629
"55","Bronx","golden raintree",512
"56","Bronx","green ash",1843
"57","Bronx","hardy rubber tree",100
"58","Bronx","hawthorn",467
"59","Bronx","hedge maple",794
"60","Bronx","Himalayan cedar",1
"61","Bronx","holly",11
"62","Bronx","honeylocust",9512
"63","Bronx","horse chestnut",98
"64","Bronx","Japanese hornbeam",74
"65","Bronx","Japanese maple",84
"66","Bronx","Japanese snowbell",55
"67","Bronx","Japanese tree lilac",578
"68","Bronx","Japanese zelkova",4559
"69","Bronx","katsura tree",143
"70","Bronx","Kentucky coffeetree",446
"71","Bronx","Kentucky yellowwood",87
"72","Bronx","kousa dogwood",41
"73","Bronx","littleleaf linden",3866
"74","Bronx","London planetree",7302
"75","Bronx","magnolia",62
"76","Bronx","maple",993
"77","Bronx","mimosa",17
"78","Bronx","mulberry",153
"79","Bronx","northern red oak",1470
"80","Bronx","Norway maple",3343
"81","Bronx","Norway spruce",37
"82","Bronx","Ohio buckeye",6
"83","Bronx","Oklahoma redbud",47
"84","Bronx","Osage-orange",3
"85","Bronx","pagoda dogwood",18
"86","Bronx","paper birch",61
"87","Bronx","paperbark maple",35
"88","Bronx","Persian ironwood",29
"89","Bronx","pignut hickory",7
"90","Bronx","pin oak",6353
"91","Bronx","pine",19
"92","Bronx","pitch pine",3
"93","Bronx","pond cypress",30
"94","Bronx","purple-leaf plum",766
"95","Bronx","quaking aspen",5
"96","Bronx","red horse chestnut",12
"97","Bronx","red maple",2177
"98","Bronx","red pine",10
"99","Bronx","river birch",54
"100","Bronx","sassafras",14
"101","Bronx","sawtooth oak",354
"102","Bronx","scarlet oak",289
"103","Bronx","Schumard's oak",260
"104","Bronx","Scots pine",2
"105","Bronx","serviceberry",301
"106","Bronx","Shantung maple",9
"107","Bronx","shingle oak",176
"108","Bronx","Siberian elm",391
"109","Bronx","silver birch",41
"110","Bronx","silver linden",649
"111","Bronx","silver maple",657
"112","Bronx","smoketree",3
"113","Bronx","Sophora",2508
"114","Bronx","southern magnolia",19
"115","Bronx","southern red oak",10
"116","Bronx","spruce",9
"117","Bronx","sugar maple",356
"118","Bronx","swamp white oak",819
"119","Bronx","sweetgum",891
"120","Bronx","sycamore maple",245
"121","Bronx","tartar maple",42
"122","Bronx","tree of heaven",81
"123","Bronx","trident maple",7
"124","Bronx","tulip-poplar",62
"125","Bronx","Turkish hazelnut",54
"126","Bronx","two-winged silverbell",25
"127","Bronx","Virginia pine",1
"128","Bronx","weeping willow",27
"129","Bronx","white ash",173
"130","Bronx","white oak",197
"131","Bronx","white pine",17
"132","Bronx","willow oak",488
"133","Brooklyn","'Schubert' chokecherry",1292
"134","Brooklyn","American beech",81
"135","Brooklyn","American elm",2556
"136","Brooklyn","American hophornbeam",359
"137","Brooklyn","American hornbeam",343
"138","Brooklyn","American larch",8
"139","Brooklyn","American linden",3997
"140","Brooklyn","Amur cork tree",45
"141","Brooklyn","Amur maackia",728
"142","Brooklyn","Amur maple",262
"143","Brooklyn","arborvitae",68
"144","Brooklyn","ash",369
"145","Brooklyn","Atlantic white cedar",93
"146","Brooklyn","Atlas cedar",34
"147","Brooklyn","bald cypress",643
"148","Brooklyn","bigtooth aspen",23
"149","Brooklyn","black cherry",150
"150","Brooklyn","black locust",436
"151","Brooklyn","black maple",30
"152","Brooklyn","black oak",430
"153","Brooklyn","black pine",5
"154","Brooklyn","black walnut",80
"155","Brooklyn","blackgum",123
"156","Brooklyn","blue spruce",19
"157","Brooklyn","boxelder",14
"158","Brooklyn","bur oak",157
"159","Brooklyn","Callery pear",9039
"160","Brooklyn","catalpa",73
"161","Brooklyn","cherry",5662
"162","Brooklyn","Chinese chestnut",54
"163","Brooklyn","Chinese elm",1585
"164","Brooklyn","Chinese fringetree",53
"165","Brooklyn","Chinese tree lilac",91
"166","Brooklyn","cockspur hawthorn",69
"167","Brooklyn","common hackberry",601
"168","Brooklyn","Cornelian cherry",251
"169","Brooklyn","crab apple",621
"170","Brooklyn","crepe myrtle",64
"171","Brooklyn","crimson king maple",992
"172","Brooklyn","cucumber magnolia",48
"173","Brooklyn","dawn redwood",1121
"174","Brooklyn","Douglas-fir",29
"175","Brooklyn","eastern cottonwood",40
"176","Brooklyn","eastern hemlock",33
"177","Brooklyn","eastern redbud",791
"178","Brooklyn","eastern redcedar",283
"179","Brooklyn","empress tree",36
"180","Brooklyn","English oak",556
"181","Brooklyn","European alder",10
"182","Brooklyn","European beech",41
"183","Brooklyn","European hornbeam",492
"184","Brooklyn","false cypress",35
"185","Brooklyn","flowering dogwood",359
"186","Brooklyn","ginkgo",5563
"187","Brooklyn","golden raintree",938
"188","Brooklyn","green ash",3783
"189","Brooklyn","hardy rubber tree",375
"190","Brooklyn","hawthorn",589
"191","Brooklyn","hedge maple",572
"192","Brooklyn","Himalayan cedar",14
"193","Brooklyn","holly",35
"194","Brooklyn","honeylocust",16775
"195","Brooklyn","horse chestnut",222
"196","Brooklyn","Japanese hornbeam",148
"197","Brooklyn","Japanese maple",114
"198","Brooklyn","Japanese snowbell",87
"199","Brooklyn","Japanese tree lilac",995
"200","Brooklyn","Japanese zelkova",9587
"201","Brooklyn","katsura tree",264
"202","Brooklyn","Kentucky coffeetree",1168
"203","Brooklyn","Kentucky yellowwood",123
"204","Brooklyn","kousa dogwood",72
"205","Brooklyn","littleleaf linden",8857
"206","Brooklyn","London planetree",34741
"207","Brooklyn","magnolia",83
"208","Brooklyn","maple",441
"209","Brooklyn","mimosa",84
"210","Brooklyn","mulberry",206
"211","Brooklyn","northern red oak",2452
"212","Brooklyn","Norway maple",6946
"213","Brooklyn","Norway spruce",67
"214","Brooklyn","Ohio buckeye",21
"215","Brooklyn","Oklahoma redbud",51
"216","Brooklyn","Osage-orange",8
"217","Brooklyn","pagoda dogwood",80
"218","Brooklyn","paper birch",134
"219","Brooklyn","paperbark maple",59
"220","Brooklyn","Persian ironwood",67
"221","Brooklyn","pignut hickory",15
"222","Brooklyn","pin oak",12268
"223","Brooklyn","pine",45
"224","Brooklyn","pitch pine",9
"225","Brooklyn","pond cypress",101
"226","Brooklyn","purple-leaf plum",1192
"227","Brooklyn","quaking aspen",20
"228","Brooklyn","red horse chestnut",21
"229","Brooklyn","red maple",2374
"230","Brooklyn","red pine",25
"231","Brooklyn","river birch",115
"232","Brooklyn","sassafras",39
"233","Brooklyn","sawtooth oak",777
"234","Brooklyn","scarlet oak",712
"235","Brooklyn","Schumard's oak",577
"236","Brooklyn","Scots pine",3
"237","Brooklyn","serviceberry",361
"238","Brooklyn","Shantung maple",12
"239","Brooklyn","shingle oak",276
"240","Brooklyn","Siberian elm",506
"241","Brooklyn","silver birch",113
"242","Brooklyn","silver linden",2366
"243","Brooklyn","silver maple",1366
"244","Brooklyn","smoketree",10
"245","Brooklyn","Sophora",5941
"246","Brooklyn","southern magnolia",27
"247","Brooklyn","southern red oak",20
"248","Brooklyn","spruce",32
"249","Brooklyn","sugar maple",601
"250","Brooklyn","swamp white oak",2696
"251","Brooklyn","sweetgum",2014
"252","Brooklyn","sycamore maple",543
"253","Brooklyn","tartar maple",16
"254","Brooklyn","tree of heaven",231
"255","Brooklyn","trident maple",12
"256","Brooklyn","tulip-poplar",274
"257","Brooklyn","Turkish hazelnut",93
"258","Brooklyn","two-winged silverbell",57
"259","Brooklyn","Virginia pine",3
"260","Brooklyn","weeping willow",55
"261","Brooklyn","white ash",341
"262","Brooklyn","white oak",500
"263","Brooklyn","white pine",37
"264","Brooklyn","willow oak",801
"265","Manhattan","'Schubert' chokecherry",157
"266","Manhattan","American beech",20
"267","Manhattan","American elm",1580
"268","Manhattan","American hophornbeam",84
"269","Manhattan","American hornbeam",84
"270","Manhattan","American larch",7
"271","Manhattan","American linden",1530
"272","Manhattan","Amur cork tree",8
"273","Manhattan","Amur maackia",58
"274","Manhattan","Amur maple",29
"275","Manhattan","arborvitae",5
"276","Manhattan","ash",55
"277","Manhattan","Atlantic white cedar",12
"278","Manhattan","bald cypress",82
"279","Manhattan","bigtooth aspen",5
"280","Manhattan","black cherry",31
"281","Manhattan","black locust",256
"282","Manhattan","black maple",8
"283","Manhattan","black oak",183
"284","Manhattan","black pine",3
"285","Manhattan","black walnut",33
"286","Manhattan","blackgum",9
"287","Manhattan","blue spruce",4
"288","Manhattan","boxelder",2
"289","Manhattan","bur oak",33
"290","Manhattan","Callery pear",7037
"291","Manhattan","catalpa",9
"292","Manhattan","cherry",844
"293","Manhattan","Chinese chestnut",17
"294","Manhattan","Chinese elm",752
"295","Manhattan","Chinese fringetree",9
"296","Manhattan","Chinese tree lilac",7
"297","Manhattan","cockspur hawthorn",3
"298","Manhattan","common hackberry",169
"299","Manhattan","Cornelian cherry",26
"300","Manhattan","crab apple",421
"301","Manhattan","crepe myrtle",5
"302","Manhattan","crimson king maple",6
"303","Manhattan","cucumber magnolia",12
"304","Manhattan","dawn redwood",191
"305","Manhattan","Douglas-fir",2
"306","Manhattan","eastern cottonwood",10
"307","Manhattan","eastern hemlock",7
"308","Manhattan","eastern redbud",50
"309","Manhattan","eastern redcedar",42
"310","Manhattan","empress tree",17
"311","Manhattan","English oak",191
"312","Manhattan","European alder",2
"313","Manhattan","European beech",6
"314","Manhattan","European hornbeam",165
"315","Manhattan","flowering dogwood",59
"316","Manhattan","ginkgo",5691
"317","Manhattan","golden raintree",353
"318","Manhattan","green ash",760
"319","Manhattan","hardy rubber tree",64
"320","Manhattan","hawthorn",208
"321","Manhattan","hedge maple",23
"322","Manhattan","Himalayan cedar",6
"323","Manhattan","holly",19
"324","Manhattan","honeylocust",12770
"325","Manhattan","horse chestnut",11
"326","Manhattan","Japanese hornbeam",60
"327","Manhattan","Japanese maple",11
"328","Manhattan","Japanese snowbell",15
"329","Manhattan","Japanese tree lilac",126
"330","Manhattan","Japanese zelkova",3476
"331","Manhattan","katsura tree",38
"332","Manhattan","Kentucky coffeetree",338
"333","Manhattan","Kentucky yellowwood",18
"334","Manhattan","kousa dogwood",13
"335","Manhattan","littleleaf linden",3209
"336","Manhattan","London planetree",3995
"337","Manhattan","magnolia",104
"338","Manhattan","maple",33
"339","Manhattan","mimosa",12
"340","Manhattan","mulberry",68
"341","Manhattan","northern red oak",1119
"342","Manhattan","Norway maple",282
"343","Manhattan","Norway spruce",3
"344","Manhattan","Ohio buckeye",24
"345","Manhattan","Oklahoma redbud",9
"346","Manhattan","Osage-orange",1
"347","Manhattan","pagoda dogwood",17
"348","Manhattan","paper birch",47
"349","Manhattan","paperbark maple",15
"350","Manhattan","Persian ironwood",1
"351","Manhattan","pignut hickory",1
"352","Manhattan","pin oak",4431
"353","Manhattan","pine",3
"354","Manhattan","pitch pine",5
"355","Manhattan","pond cypress",11
"356","Manhattan","purple-leaf plum",110
"357","Manhattan","quaking aspen",2
"358","Manhattan","red horse chestnut",1
"359","Manhattan","red maple",344
"360","Manhattan","red pine",1
"361","Manhattan","river birch",27
"362","Manhattan","sassafras",17
"363","Manhattan","sawtooth oak",340
"364","Manhattan","scarlet oak",68
"365","Manhattan","Schumard's oak",135
"366","Manhattan","Scots pine",2
"367","Manhattan","serviceberry",38
"368","Manhattan","shingle oak",198
"369","Manhattan","Siberian elm",155
"370","Manhattan","silver birch",10
"371","Manhattan","silver linden",518
"372","Manhattan","silver maple",69
"373","Manhattan","smoketree",1
"374","Manhattan","Sophora",4308
"375","Manhattan","southern magnolia",19
"376","Manhattan","southern red oak",7
"377","Manhattan","spruce",1
"378","Manhattan","sugar maple",40
"379","Manhattan","swamp white oak",662
"380","Manhattan","sweetgum",223
"381","Manhattan","sycamore maple",23
"382","Manhattan","tartar maple",12
"383","Manhattan","tree of heaven",103
"384","Manhattan","tulip-poplar",33
"385","Manhattan","Turkish hazelnut",17
"386","Manhattan","two-winged silverbell",8
"387","Manhattan","Virginia pine",3
"388","Manhattan","weeping willow",12
"389","Manhattan","white ash",50
"390","Manhattan","white oak",237
"391","Manhattan","white pine",1
"392","Manhattan","willow oak",860
"393","Queens","'Schubert' chokecherry",1970
"394","Queens","American beech",88
"395","Queens","American elm",1682
"396","Queens","American hophornbeam",289
"397","Queens","American hornbeam",515
"398","Queens","American larch",10
"399","Queens","American linden",4705
"400","Queens","Amur cork tree",71
"401","Queens","Amur maackia",668
"402","Queens","Amur maple",670
"403","Queens","arborvitae",165
"404","Queens","ash",1316
"405","Queens","Atlantic white cedar",133
"406","Queens","Atlas cedar",38
"407","Queens","bald cypress",309
"408","Queens","bigtooth aspen",35
"409","Queens","black cherry",266
"410","Queens","black locust",478
"411","Queens","black maple",23
"412","Queens","black oak",365
"413","Queens","black pine",24
"414","Queens","black walnut",89
"415","Queens","blackgum",70
"416","Queens","blue spruce",60
"417","Queens","boxelder",15
"418","Queens","bur oak",170
"419","Queens","Callery pear",16244
"420","Queens","catalpa",304
"421","Queens","cherry",13303
"422","Queens","Chinese chestnut",58
"423","Queens","Chinese elm",1005
"424","Queens","Chinese fringetree",93
"425","Queens","Chinese tree lilac",201
"426","Queens","cockspur hawthorn",118
"427","Queens","common hackberry",625
"428","Queens","Cornelian cherry",323
"429","Queens","crab apple",1389
"430","Queens","crepe myrtle",236
"431","Queens","crimson king maple",2877
"432","Queens","cucumber magnolia",48
"433","Queens","dawn redwood",859
"434","Queens","Douglas-fir",37
"435","Queens","eastern cottonwood",106
"436","Queens","eastern hemlock",25
"437","Queens","eastern redbud",1340
"438","Queens","eastern redcedar",531
"439","Queens","empress tree",90
"440","Queens","English oak",455
"441","Queens","European alder",17
"442","Queens","European beech",51
"443","Queens","European hornbeam",800
"444","Queens","false cypress",51
"445","Queens","flowering dogwood",681
"446","Queens","ginkgo",5907
"447","Queens","golden raintree",1284
"448","Queens","green ash",7309
"449","Queens","hardy rubber tree",278
"450","Queens","hawthorn",1040
"451","Queens","hedge maple",670
"452","Queens","Himalayan cedar",30
"453","Queens","holly",50
"454","Queens","honeylocust",19878
"455","Queens","horse chestnut",566
"456","Queens","Japanese hornbeam",97
"457","Queens","Japanese maple",749
"458","Queens","Japanese snowbell",196
"459","Queens","Japanese tree lilac",1919
"460","Queens","Japanese zelkova",8861
"461","Queens","katsura tree",359
"462","Queens","Kentucky coffeetree",1028
"463","Queens","Kentucky yellowwood",182
"464","Queens","kousa dogwood",120
"465","Queens","littleleaf linden",11758
"466","Queens","London planetree",30499
"467","Queens","magnolia",311
"468","Queens","maple",2974
"469","Queens","mimosa",40
"470","Queens","mulberry",557
"471","Queens","northern red oak",2636
"472","Queens","Norway maple",19219
"473","Queens","Norway spruce",189
"474","Queens","Ohio buckeye",19
"475","Queens","Oklahoma redbud",81
"476","Queens","Osage-orange",12
"477","Queens","pagoda dogwood",81
"478","Queens","paper birch",170
"479","Queens","paperbark maple",71
"480","Queens","Persian ironwood",157
"481","Queens","pignut hickory",50
"482","Queens","pin oak",22242
"483","Queens","pine",185
"484","Queens","pitch pine",10
"485","Queens","pond cypress",30
"486","Queens","purple-leaf plum",2970
"487","Queens","quaking aspen",34
"488","Queens","red horse chestnut",58
"489","Queens","red maple",4881
"490","Queens","red pine",51
"491","Queens","river birch",196
"492","Queens","sassafras",73
"493","Queens","sawtooth oak",577
"494","Queens","scarlet oak",276
"495","Queens","Schumard's oak",224
"496","Queens","Scots pine",13
"497","Queens","serviceberry",879
"498","Queens","Shantung maple",27
"499","Queens","shingle oak",322
"500","Queens","Siberian elm",338
"501","Queens","silver birch",84
"502","Queens","silver linden",4093
"503","Queens","silver maple",6020
"504","Queens","smoketree",42
"505","Queens","Sophora",5310
"506","Queens","southern magnolia",48
"507","Queens","southern red oak",27
"508","Queens","spruce",126
"509","Queens","sugar maple",1274
"510","Queens","swamp white oak",1561
"511","Queens","sweetgum",2441
"512","Queens","sycamore maple",1586
"513","Queens","tartar maple",48
"514","Queens","tree of heaven",265
"515","Queens","trident maple",67
"516","Queens","tulip-poplar",479
"517","Queens","Turkish hazelnut",136
"518","Queens","two-winged silverbell",68
"519","Queens","Virginia pine",3
"520","Queens","weeping willow",131
"521","Queens","white ash",399
"522","Queens","white oak",495
"523","Queens","white pine",98
"524","Queens","willow oak",724
"525","Staten Island","'Schubert' chokecherry",816
"526","Staten Island","American beech",49
"527","Staten Island","American elm",508
"528","Staten Island","American hophornbeam",151
"529","Staten Island","American hornbeam",269
"530","Staten Island","American larch",9
"531","Staten Island","American linden",1007
"532","Staten Island","Amur cork tree",26
"533","Staten Island","Amur maackia",266
"534","Staten Island","Amur maple",649
"535","Staten Island","arborvitae",54
"536","Staten Island","ash",562
"537","Staten Island","Atlantic white cedar",62
"538","Staten Island","Atlas cedar",8
"539","Staten Island","bald cypress",129
"540","Staten Island","bigtooth aspen",22
"541","Staten Island","black cherry",89
"542","Staten Island","black locust",234
"543","Staten Island","black maple",35
"544","Staten Island","black oak",98
"545","Staten Island","black pine",3
"546","Staten Island","black walnut",46
"547","Staten Island","blackgum",52
"548","Staten Island","blue spruce",26
"549","Staten Island","boxelder",16
"550","Staten Island","bur oak",70
"551","Staten Island","Callery pear",20817
"552","Staten Island","catalpa",25
"553","Staten Island","cherry",5045
"554","Staten Island","Chinese chestnut",23
"555","Staten Island","Chinese elm",623
"556","Staten Island","Chinese fringetree",48
"557","Staten Island","Chinese tree lilac",104
"558","Staten Island","cockspur hawthorn",90
"559","Staten Island","common hackberry",167
"560","Staten Island","Cornelian cherry",286
"561","Staten Island","crab apple",547
"562","Staten Island","crepe myrtle",86
"563","Staten Island","crimson king maple",1806
"564","Staten Island","cucumber magnolia",38
"565","Staten Island","dawn redwood",399
"566","Staten Island","Douglas-fir",8
"567","Staten Island","eastern cottonwood",63
"568","Staten Island","eastern hemlock",16
"569","Staten Island","eastern redbud",947
"570","Staten Island","eastern redcedar",76
"571","Staten Island","empress tree",39
"572","Staten Island","English oak",203
"573","Staten Island","European alder",12
"574","Staten Island","European beech",12
"575","Staten Island","European hornbeam",186
"576","Staten Island","false cypress",9
"577","Staten Island","flowering dogwood",288
"578","Staten Island","ginkgo",905
"579","Staten Island","golden raintree",594
"580","Staten Island","green ash",2384
"581","Staten Island","hardy rubber tree",93
"582","Staten Island","hawthorn",645
"583","Staten Island","hedge maple",471
"584","Staten Island","Himalayan cedar",20
"585","Staten Island","holly",15
"586","Staten Island","honeylocust",4146
"587","Staten Island","horse chestnut",184
"588","Staten Island","Japanese hornbeam",44
"589","Staten Island","Japanese maple",159
"590","Staten Island","Japanese snowbell",36
"591","Staten Island","Japanese tree lilac",874
"592","Staten Island","Japanese zelkova",2349
"593","Staten Island","katsura tree",98
"594","Staten Island","Kentucky coffeetree",346
"595","Staten Island","Kentucky yellowwood",62
"596","Staten Island","kousa dogwood",54
"597","Staten Island","littleleaf linden",1674
"598","Staten Island","London planetree",9308
"599","Staten Island","magnolia",120
"600","Staten Island","maple",2591
"601","Staten Island","mimosa",9
"602","Staten Island","mulberry",142
"603","Staten Island","northern red oak",592
"604","Staten Island","Norway maple",4096
"605","Staten Island","Norway spruce",51
"606","Staten Island","Ohio buckeye",5
"607","Staten Island","Oklahoma redbud",30
"608","Staten Island","Osage-orange",4
"609","Staten Island","pagoda dogwood",81
"610","Staten Island","paper birch",122
"611","Staten Island","paperbark maple",38
"612","Staten Island","Persian ironwood",23
"613","Staten Island","pignut hickory",21
"614","Staten Island","pin oak",7105
"615","Staten Island","pine",28
"616","Staten Island","pitch pine",6
"617","Staten Island","pond cypress",7
"618","Staten Island","purple-leaf plum",1741
"619","Staten Island","quaking aspen",20
"620","Staten Island","red horse chestnut",24
"621","Staten Island","red maple",7319
"622","Staten Island","red pine",15
"623","Staten Island","river birch",156
"624","Staten Island","sassafras",24
"625","Staten Island","sawtooth oak",164
"626","Staten Island","scarlet oak",94
"627","Staten Island","Schumard's oak",281
"628","Staten Island","Scots pine",3
"629","Staten Island","serviceberry",434
"630","Staten Island","Shantung maple",11
"631","Staten Island","shingle oak",57
"632","Staten Island","Siberian elm",198
"633","Staten Island","silver birch",49
"634","Staten Island","silver linden",265
"635","Staten Island","silver maple",4012
"636","Staten Island","smoketree",2
"637","Staten Island","Sophora",949
"638","Staten Island","southern magnolia",19
"639","Staten Island","southern red oak",18
"640","Staten Island","spruce",24
"641","Staten Island","sugar maple",548
"642","Staten Island","swamp white oak",760
"643","Staten Island","sweetgum",4948
"644","Staten Island","sycamore maple",311
"645","Staten Island","tartar maple",32
"646","Staten Island","tree of heaven",64
"647","Staten Island","trident maple",23
"648","Staten Island","tulip-poplar",216
"649","Staten Island","Turkish hazelnut",17
"650","Staten Island","two-winged silverbell",57
"651","Staten Island","weeping willow",55
"652","Staten Island","white ash",152
"653","Staten Island","white oak",225
"654","Staten Island","white pine",46
"655","Staten Island","willow oak",243
